Rk,School,Conf,ConfStr,AdjEM,AdjO,SDO,AdjD,SDD,AdjT,SDP,Record,Home,Neutral,Away,Q1,Q2,Q3,Q4
94.0,Oklahoma State,Big 12,10.754673828542224,7.828290680620739,98.74494985143392,13.157398119522805,90.91665917081318,14.203075357639857,72.93692822216201,14.203075357639857,[20-16],[12-6],[3-3],[5-7],[2-11],[4-4],[8-1],[6-0]
95.0,Charlotte,CUSA,4.193010157896197,7.821131493432546,108.50526541497588,13.281676750530613,100.68413392154334,15.498904642603113,62.086370439733486,15.498904642603113,[22-14],[11-4],[6-2],[5-8],[2-5],[0-1],[9-4],[11-4]
96.0,Southern California,Pac-12,4.339152644880173,7.63707702614775,104.11310611793431,12.989605851479222,96.47602909178656,15.855748056722126,73.51880960494333,15.855748056722126,[22-11],[15-2],[2-4],[5-5],[1-4],[6-3],[8-2],[7-2]
97.0,Longwood,Big South,-1.836365646304401,7.567274879613905,106.06552892417025,17.789312535746973,98.49825404455635,19.854445332501967,64.98953486000094,19.854445332501967,[18-12],[10-3],[0-1],[8-8],[0-1],[0-1],[3-5],[15-5]
98.0,Utah,Pac-12,4.339152644880173,7.524121163268163,100.97411456502152,17.90543765296577,93.44999340175336,19.943474155544248,70.64330986868552,19.943474155544248,[17-15],[12-5],[1-3],[4-7],[1-4],[1-6],[4-5],[11-0]
99.0,Saint Louis,A-10,2.5930691894415645,7.478690633583994,107.92710829109238,14.016255161889786,100.44841765750839,15.584086742099283,73.51382589320046,15.584086742099283,[20-12],[14-3],[2-2],[4-7],[1-7],[3-2],[8-2],[8-1]
100.0,Hawaii,Big West,-1.675189283908395,7.465290626679405,102.29959115739757,13.704069581811689,94.83430053071817,16.488511436949928,66.8441917950003,16.488511436949928,[21-11],[13-5],[2-2],[6-4],[0-1],[0-2],[5-6],[16-2]
101.0,Florida,SEC,6.977958743424949,7.350158374070475,101.67219141985647,17.830700952242722,94.322033045786,18.814879901090016,72.40399275490356,18.814879901090016,[16-17],[10-6],[2-4],[4-7],[1-9],[2-5],[4-3],[9-0]
102.0,Belmont,MVC,0.7463188532381935,7.145941764312639,109.53436749556197,15.750360227090527,102.38842573124933,17.456871534460284,71.00217912084321,17.456871534460284,[20-11],[11-2],[2-2],[7-7],[1-3],[3-3],[5-2],[11-3]
103.0,Seton Hall,Big East,7.535675277249311,7.059422316678095,100.27079793939372,14.303441753123169,93.21137562271562,15.263266025389402,70.24095742118251,15.263266025389402,[16-16],[9-6],[1-3],[6-7],[4-7],[1-5],[3-3],[8-1]
104.0,UC Santa Barbara,Big West,-1.675189283908395,7.037373316784084,109.4328972089524,14.32354612514949,102.39552389216831,17.22612444955493,66.45852503912003,17.22612444955493,[25-8],[10-3],[5-1],[10-4],[0-1],[2-1],[8-4],[15-2]
105.0,San Francisco,WCC,6.922509813696621,7.001928094110042,107.02437978124942,13.054907228965586,100.02245168713938,13.934776885483508,70.70516359612915,13.934776885483508,[19-14],[10-5],[4-3],[5-6],[0-7],[4-2],[6-3],[9-2]
106.0,Villanova,Big East,7.535675277249311,6.832992222712036,107.30177045813598,12.650010541982407,100.46877823542394,13.562247749039239,66.8752332281831,13.562247749039239,[17-17],[10-4],[2-4],[5-9],[2-10],[2-3],[5-3],[8-1]
107.0,Loyola Marymount,WCC,6.922509813696621,6.589168290816701,107.0331452577529,13.230125526401972,100.4439769669362,13.700851217767301,69.0670905179187,13.700851217767301,[18-12],[12-3],[2-2],[4-7],[2-4],[3-3],[4-3],[9-2]
108.0,UC Irvine,Big West,-1.675189283908395,6.568827277988191,104.51740678544047,13.227358704084171,97.94857950745228,15.752715479248472,71.72608839832158,15.752715479248472,[21-12],[9-4],[3-1],[9-7],[0-1],[2-3],[5-6],[14-2]
109.0,Northern Kentucky,Horizon,-1.4172126408616066,6.515976499171913,103.59725558956042,14.224405729159708,97.0812790903885,15.162325606456262,63.25195006562261,15.162325606456262,[20-13],[12-3],[2-4],[6-6],[1-5],[2-3],[7-2],[10-3]
110.0,Nevada-Las Vegas,MWC,6.732010734582303,6.4601028100333195,102.75282909200402,11.162751915690972,96.2927262819707,12.190065798426069,72.01608444108356,12.190065798426069,[18-13],[9-7],[4-0],[5-6],[1-7],[3-0],[6-4],[8-2]
111.0,Cornell,Ivy,2.0873678054697535,6.453356047866606,111.74374830248338,15.248336994452712,105.29039225461678,16.27225459895435,73.79884258302948,16.27225459895435,[15-11],[9-2],[0-1],[6-8],[2-4],[0-3],[2-4],[11-0]
112.0,Wisconsin,Big Ten,8.724533341990082,6.417312632411992,100.00327893321834,14.36610123530098,93.58596630080635,14.999682927683466,67.36881284422977,14.999682927683466,[20-15],[11-6],[3-3],[6-6],[5-7],[7-6],[2-2],[6-0]
